algorithm,parameters,sequence,mean_error,max_error,error_std,ssim,runtime_s
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 15, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,52.200347900390625,255.0,41.4093132019043,0.1029314776805549,0.029532909393310547
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 15, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,51.60013198852539,255.0,40.948211669921875,0.10023044884952266,0.022991418838500977
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 15, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,52.199623107910156,255.0,41.408145904541016,0.10294733421137704,0.024990558624267578
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 15, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,51.565608978271484,255.0,40.91481399536133,0.10170465790853372,0.02552962303161621
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 20, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,53.396148681640625,255.0,42.27675247192383,0.07495562957837017,0.022011280059814453
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 20, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,52.98460006713867,255.0,42.002586364746094,0.0756263173592507,0.022980213165283203
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 20, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,53.39493179321289,255.0,42.27778625488281,0.074949252050886,0.025992155075073242
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 20, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,52.969844818115234,255.0,41.97677230834961,0.07562226392116218,0.025015830993652344
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 25, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,54.075950622558594,255.0,42.597190856933594,0.06485102151667428,0.022515535354614258
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 25, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,53.41881561279297,255.0,42.29386901855469,0.06707313448401818,0.024982929229736328
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 25, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,54.07622528076172,255.0,42.598045349121094,0.0648471392925741,0.0260007381439209
Farneback,"{'pyr_scale': 0.5, 'levels': 3, 'winsize': 25, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,53.414146423339844,255.0,42.27936553955078,0.06754644819259202,0.023998022079467773
Farneback,"{'pyr_scale': 0.5, 'levels': 4, 'winsize': 15, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,52.200347900390625,255.0,41.4093132019043,0.1029314776805549,0.021999597549438477
Farneback,"{'pyr_scale': 0.5, 'levels': 4, 'winsize': 15, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,51.60013198852539,255.0,40.948211669921875,0.10023044884952266,0.02255845069885254
Farneback,"{'pyr_scale': 0.5, 'levels': 4, 'winsize': 15, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,52.199623107910156,255.0,41.408145904541016,0.10294733421137704,0.02698826789855957
Farneback,"{'pyr_scale': 0.5, 'levels': 4, 'winsize': 15, 'iterations': 3, 'poly_n': 7, 'poly_sigma': 1.5, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,51.565608978271484,255.0,40.91481399536133,0.10170465790853372,0.024468183517456055
Farneback,"{'pyr_scale': 0.5, 'levels': 4, 'winsize': 20, 'iterations': 3, 'poly_n': 5, 'poly_sigma': 1.1, 'flags': 0}",C:\Users\calsp\OneDrive\Documents\GitHub\thesis\samples_mat\B159M_L1\2020_07_31_B159M_Location_1_L1-000-YK_OCT_z58.mat,53.396148681640625,255.0,42.27675247192383,0.07495562957837017,0.021444320678710938
