pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,avg_EPE
0.7,4,9,5,5,1.1,7.673331921
0.7,4,9,5,7,1.1,7.673329968
0.5,3,9,5,5,1.1,7.67063543
0.5,4,9,5,5,1.1,7.67063543
0.5,3,9,5,7,1.1,7.670634011
0.5,4,9,5,7,1.1,7.670634011
0.7,4,9,3,5,1.1,7.667740442
0.7,4,9,3,7,1.1,7.667738926
0.5,3,9,3,5,1.1,7.666192122
0.5,4,9,3,5,1.1,7.666192122
0.5,3,9,3,7,1.1,7.666192035
0.5,4,9,3,7,1.1,7.666192035
0.5,2,9,5,7,1.1,7.664990122
0.5,2,9,5,5,1.1,7.664989778
0.5,2,9,3,5,1.1,7.656465353
0.5,2,9,3,7,1.1,7.656464405
0.3,2,9,5,5,1.1,7.656431065
0.3,3,9,5,5,1.1,7.656431065
0.3,4,9,5,5,1.1,7.656431065
0.3,2,9,5,7,1.1,7.656430355
0.3,3,9,5,7,1.1,7.656430355
0.3,4,9,5,7,1.1,7.656430355
0.7,4,15,5,7,1.1,7.646345501
0.7,4,15,5,5,1.1,7.646343471
0.3,2,9,3,7,1.1,7.645358734
0.3,3,9,3,7,1.1,7.645358734
0.3,4,9,3,7,1.1,7.645358734
0.3,2,9,3,5,1.1,7.645358634
0.3,3,9,3,5,1.1,7.645358634
0.3,4,9,3,5,1.1,7.645358634
0.5,3,9,1,7,1.1,7.644032139
0.5,4,9,1,7,1.1,7.644032139
0.5,3,9,1,5,1.1,7.644027036
0.5,4,9,1,5,1.1,7.644027036
0.7,4,15,3,7,1.1,7.643662779
0.7,4,15,3,5,1.1,7.643660525
0.5,3,15,5,7,1.1,7.639351473
0.5,4,15,5,7,1.1,7.639351473
0.5,3,15,5,5,1.1,7.639347805
0.5,4,15,5,5,1.1,7.639347805
0.5,2,15,5,7,1.1,7.639144308
0.5,2,15,5,5,1.1,7.639141162
0.3,1,9,5,7,1.1,7.636676029
0.3,1,9,5,5,1.1,7.636675755
0.7,4,9,1,7,1.1,7.636521447
0.7,4,9,1,5,1.1,7.636517277
0.7,3,15,5,7,1.1,7.632962196
0.7,3,15,5,5,1.1,7.63295927
0.5,3,15,3,7,1.1,7.632843873
0.5,4,15,3,7,1.1,7.632843873
0.5,3,15,3,5,1.1,7.63284032
0.5,4,15,3,5,1.1,7.63284032
0.5,2,15,3,7,1.1,7.630946547
0.5,2,15,3,5,1.1,7.630942523
0.7,3,9,5,7,1.1,7.626823516
0.7,3,9,5,5,1.1,7.62682238
0.7,4,9,5,5,1.5,7.621703221
0.7,4,9,5,7,1.5,7.619374123
0.7,4,15,1,7,1.1,7.615836583
0.7,4,15,1,5,1.1,7.615826974
0.7,4,9,3,5,1.5,7.615006363
0.3,2,15,5,7,1.1,7.614352873
0.3,3,15,5,7,1.1,7.614352873
0.3,4,15,5,7,1.1,7.614352873
0.3,2,15,5,5,1.1,7.614347139
0.3,3,15,5,5,1.1,7.614347139
0.3,4,15,5,5,1.1,7.614347139
0.7,4,15,5,5,1.5,7.6134977
0.3,1,9,3,7,1.1,7.612623375
0.3,1,9,3,5,1.1,7.612621395
0.7,4,9,3,7,1.5,7.612614627
0.7,4,15,5,7,1.5,7.61210903
0.5,3,9,5,5,1.5,7.611771149
0.5,4,9,5,5,1.5,7.611771149
0.7,3,15,3,7,1.1,7.611725685
0.7,3,15,3,5,1.1,7.611718723
0.5,2,9,5,5,1.5,7.611559866
0.3,1,15,5,7,1.1,7.611434877
0.3,1,15,5,5,1.1,7.611429598
0.7,4,15,3,5,1.5,7.610985197
0.7,3,15,5,5,1.5,7.609753319
0.7,4,15,3,7,1.5,7.609658049
0.5,3,9,5,7,1.5,7.60942114
0.5,4,9,5,7,1.5,7.60942114
0.5,2,9,5,7,1.5,7.609220955
0.7,3,15,5,7,1.5,7.608396848
0.5,3,15,5,5,1.5,7.607103988
0.5,4,15,5,5,1.5,7.607103988
0.5,2,15,5,5,1.5,7.607059333
0.5,3,15,5,7,1.5,7.605829725
0.5,4,15,5,7,1.5,7.605829725
0.5,2,15,5,7,1.5,7.605786471
0.5,3,9,3,5,1.5,7.605356868
0.5,4,9,3,5,1.5,7.605356868
0.7,3,9,5,5,1.5,7.605300357
0.5,2,9,3,5,1.5,7.604085966
0.7,3,15,3,5,1.5,7.603364291
0.7,3,9,5,7,1.5,7.603275203
0.5,3,9,3,7,1.5,7.602971333
0.5,4,9,3,7,1.5,7.602971333
0.5,3,15,3,5,1.5,7.602478243
0.5,4,15,3,5,1.5,7.602478243
0.5,2,15,3,5,1.5,7.602371865
0.7,3,15,3,7,1.5,7.602165783
0.5,2,9,3,7,1.5,7.601675732
0.5,3,15,3,7,1.5,7.6012306
0.5,4,15,3,7,1.5,7.6012306
0.5,2,15,3,7,1.5,7.601132121
0.7,3,9,3,7,1.1,7.596568241
0.7,3,9,3,5,1.1,7.596564453
0.3,2,15,3,7,1.1,7.596076431
0.3,3,15,3,7,1.1,7.596076431
0.3,4,15,3,7,1.1,7.596076431
0.3,2,15,3,5,1.1,7.596068857
0.3,3,15,3,5,1.1,7.596068857
0.3,4,15,3,5,1.1,7.596068857
0.3,2,9,1,7,1.1,7.595968119
0.3,3,9,1,7,1.1,7.595968119
0.3,4,9,1,7,1.1,7.595968119
0.3,2,9,1,5,1.1,7.595949702
0.3,3,9,1,5,1.1,7.595949702
0.3,4,9,1,5,1.1,7.595949702
0.7,4,15,1,5,1.5,7.595668767
0.7,4,15,1,7,1.5,7.595266421
0.5,2,9,1,7,1.1,7.594450219
0.5,2,9,1,5,1.1,7.594439722
0.3,2,9,5,5,1.5,7.594284373
0.3,3,9,5,5,1.5,7.594284373
0.3,4,9,5,5,1.5,7.594284373
0.7,4,9,1,5,1.5,7.593108885
0.7,3,9,3,5,1.5,7.593042579
0.5,3,15,1,7,1.1,7.591984783
0.5,4,15,1,7,1.1,7.591984783
0.5,3,15,1,5,1.1,7.591966511
0.5,4,15,1,5,1.1,7.591966511
0.3,2,9,5,7,1.5,7.591851866
0.3,3,9,5,7,1.5,7.591851866
0.3,4,9,5,7,1.5,7.591851866
0.7,4,21,5,7,1.1,7.591766436
0.7,4,21,5,5,1.1,7.591759973
0.7,4,9,1,7,1.5,7.591166696
0.7,3,9,3,7,1.5,7.591029512
0.3,1,15,3,7,1.1,7.588578202
0.3,1,15,3,5,1.1,7.588569983
0.7,3,21,5,7,1.1,7.587672956
0.7,3,21,5,5,1.1,7.587665121
0.3,1,9,5,5,1.5,7.58754941
0.7,4,21,3,7,1.1,7.585732009
0.7,4,21,3,5,1.1,7.585724698
0.3,2,9,3,5,1.5,7.585398877
0.3,3,9,3,5,1.5,7.585398877
0.3,4,9,3,5,1.5,7.585398877
0.3,1,9,5,7,1.5,7.58519883
0.3,2,15,5,5,1.5,7.584292686
0.3,3,15,5,5,1.5,7.584292686
0.3,4,15,5,5,1.5,7.584292686
0.3,1,15,5,5,1.5,7.58352521
0.3,2,15,5,7,1.5,7.58319066
0.3,3,15,5,7,1.5,7.58319066
0.3,4,15,5,7,1.5,7.58319066
0.3,2,9,3,7,1.5,7.582995565
0.3,3,9,3,7,1.5,7.582995565
0.3,4,9,3,7,1.5,7.582995565
0.3,1,15,5,7,1.5,7.582422212
0.5,3,21,5,7,1.1,7.579227331
0.5,4,21,5,7,1.1,7.579227331
0.5,3,21,5,5,1.1,7.579220169
0.5,4,21,5,5,1.1,7.579220169
0.5,2,21,5,7,1.1,7.579211159
0.5,2,21,5,5,1.1,7.579203182
0.5,3,9,1,5,1.5,7.57877409
0.5,4,9,1,5,1.5,7.57877409
0.5,3,9,1,7,1.5,7.577546688
0.5,4,9,1,7,1.5,7.577546688
0.3,1,9,3,5,1.5,7.574860595
0.5,3,15,1,7,1.5,7.574519912
0.5,4,15,1,7,1.5,7.574519912
0.5,3,15,1,5,1.5,7.573494488
0.5,4,15,1,5,1.5,7.573494488
0.3,2,15,3,5,1.5,7.573345856
0.3,3,15,3,5,1.5,7.573345856
0.3,4,15,3,5,1.5,7.573345856
0.7,3,21,3,7,1.1,7.572791524
0.7,3,21,3,5,1.1,7.572782747
