algorithm,pyr_scale,levels,winsize,iterations,poly_n,poly_sigma,mean_error
Farneback,0.3,1,9,1,5,1.1,0.8810131876748447
Farneback,0.3,1,9,1,5,1.5,0.8812818025305184
Farneback,0.3,1,9,1,7,1.1,0.8810252211213327
Farneback,0.3,1,9,1,7,1.5,0.8856938508274586
Farneback,0.3,1,9,3,5,1.1,0.8133653315611157
Farneback,0.3,1,9,3,5,1.5,0.8502923921877852
Farneback,0.3,1,9,3,7,1.1,0.8133671968869042
Farneback,0.3,1,9,3,7,1.5,0.8518354873156
Farneback,0.3,1,9,5,5,1.1,0.8096325164894743
Farneback,0.3,1,9,5,5,1.5,0.8505137437085898
Farneback,0.3,1,9,5,7,1.1,0.809634962279825
Farneback,0.3,1,9,5,7,1.5,0.8520897098245008
Farneback,0.3,1,15,1,5,1.1,0.8409499162448304
Farneback,0.3,1,15,1,5,1.5,0.8208097995093994
Farneback,0.3,1,15,1,7,1.1,0.8409537797323072
Farneback,0.3,1,15,1,7,1.5,0.8240636286483388
Farneback,0.3,1,15,3,5,1.1,0.7816251283420805
Farneback,0.3,1,15,3,5,1.5,0.8040950384933816
Farneback,0.3,1,15,3,7,1.1,0.7816257682294568
Farneback,0.3,1,15,3,7,1.5,0.8050319551876157
Farneback,0.3,1,15,5,5,1.1,0.7812547900542297
Farneback,0.3,1,15,5,5,1.5,0.8053669628197426
Farneback,0.3,1,15,5,7,1.1,0.7812558105903016
Farneback,0.3,1,15,5,7,1.5,0.8062627934174516
Farneback,0.3,1,21,1,5,1.1,0.8979792623955726
Farneback,0.3,1,21,1,5,1.5,0.8360626189903299
Farneback,0.3,1,21,1,7,1.1,0.8979625680140502
Farneback,0.3,1,21,1,7,1.5,0.8370944577442898
Farneback,0.3,1,21,3,5,1.1,0.794812629081647
Farneback,0.3,1,21,3,5,1.5,0.8014919861360653
Farneback,0.3,1,21,3,7,1.1,0.7948073697994963
Farneback,0.3,1,21,3,7,1.5,0.8019771026339599
Farneback,0.3,1,21,5,5,1.1,0.786765544049882
Farneback,0.3,1,21,5,5,1.5,0.7992784758854319
Farneback,0.3,1,21,5,7,1.1,0.7867626339288235
Farneback,0.3,1,21,5,7,1.5,0.7998135723559404
Farneback,0.3,3,9,1,5,1.1,0.8157195226647032
Farneback,0.3,3,9,1,5,1.5,0.86283717269522
Farneback,0.3,3,9,1,7,1.1,0.8157308118220812
Farneback,0.3,3,9,1,7,1.5,0.8665173853554697
Farneback,0.3,3,9,3,5,1.1,0.8018508736929126
Farneback,0.3,3,9,3,5,1.5,0.8459893797180854
Farneback,0.3,3,9,3,7,1.1,0.8018534813064296
Farneback,0.3,3,9,3,7,1.5,0.8476588525528851
Farneback,0.3,3,9,5,5,1.1,0.8018589525703557
Farneback,0.3,3,9,5,5,1.5,0.847273249709856
Farneback,0.3,3,9,5,7,1.1,0.8018614966617661
Farneback,0.3,3,9,5,7,1.5,0.8489014729575417
Farneback,0.3,3,15,1,5,1.1,0.8189703778142894
Farneback,0.3,3,15,1,5,1.5,0.8182526004518056
Farneback,0.3,3,15,1,7,1.1,0.8189769298455615
Farneback,0.3,3,15,1,7,1.5,0.8212330700716902
Farneback,0.3,3,15,3,5,1.1,0.781891237405069
Farneback,0.3,3,15,3,5,1.5,0.8039713980682696
Farneback,0.3,3,15,3,7,1.1,0.7818917857856382
Farneback,0.3,3,15,3,7,1.5,0.8049049226322716
Farneback,0.3,3,15,5,5,1.1,0.7805614054135748
Farneback,0.3,3,15,5,5,1.5,0.8048111800597545
Farneback,0.3,3,15,5,7,1.1,0.780562763952912
Farneback,0.3,3,15,5,7,1.5,0.8057056747395269
Farneback,0.3,3,21,1,5,1.1,0.8920254363487652
Farneback,0.3,3,21,1,5,1.5,0.8386862320730589
Farneback,0.3,3,21,1,7,1.1,0.8920098771886741
Farneback,0.3,3,21,1,7,1.5,0.8395337376803176
Farneback,0.3,3,21,3,5,1.1,0.7965852272305298
Farneback,0.3,3,21,3,5,1.5,0.8021144604837793
Farneback,0.3,3,21,3,7,1.1,0.796580101193266
Farneback,0.3,3,21,3,7,1.5,0.8025498699240653
Farneback,0.3,3,21,5,5,1.1,0.7871503213884636
Farneback,0.3,3,21,5,5,1.5,0.7993632301807417
Farneback,0.3,3,21,5,7,1.1,0.7871470964519095
Farneback,0.3,3,21,5,7,1.5,0.7998669345744296
Farneback,0.3,5,9,1,5,1.1,0.8157195226647032
Farneback,0.3,5,9,1,5,1.5,0.86283717269522
Farneback,0.3,5,9,1,7,1.1,0.8157308118220812
Farneback,0.3,5,9,1,7,1.5,0.8665173853554697
Farneback,0.3,5,9,3,5,1.1,0.8018508736929126
Farneback,0.3,5,9,3,5,1.5,0.8459893797180854
Farneback,0.3,5,9,3,7,1.1,0.8018534813064296
Farneback,0.3,5,9,3,7,1.5,0.8476588525528851
Farneback,0.3,5,9,5,5,1.1,0.8018589525703557
Farneback,0.3,5,9,5,5,1.5,0.847273249709856
Farneback,0.3,5,9,5,7,1.1,0.8018614966617661
Farneback,0.3,5,9,5,7,1.5,0.8489014729575417
Farneback,0.3,5,15,1,5,1.1,0.8189703778142894
Farneback,0.3,5,15,1,5,1.5,0.8182526004518056
Farneback,0.3,5,15,1,7,1.1,0.8189769298455615
Farneback,0.3,5,15,1,7,1.5,0.8212330700716902
Farneback,0.3,5,15,3,5,1.1,0.781891237405069
Farneback,0.3,5,15,3,5,1.5,0.8039713980682696
Farneback,0.3,5,15,3,7,1.1,0.7818917857856382
Farneback,0.3,5,15,3,7,1.5,0.8049049226322716
Farneback,0.3,5,15,5,5,1.1,0.7805614054135748
Farneback,0.3,5,15,5,5,1.5,0.8048111800597545
Farneback,0.3,5,15,5,7,1.1,0.780562763952912
Farneback,0.3,5,15,5,7,1.5,0.8057056747395269
Farneback,0.3,5,21,1,5,1.1,0.8920254363487652
