sample,algorithm,algorithm_mse,deformation_mse
B159M_L1,TVL1,1618.701817413356,
B159M_L1,DIS,1648.3402744233788,
B159M_L1,Farneback,1677.361014672141,
B159M_L1,PCAFlow,1696.0012151310227,
B159M_L1,Lucas-Kanade,2278.9526174375073,
B159M_L1,DeepFlow,1705.7009494626252,
BT001M_L1,TVL1,1143.1965417823935,
BT001M_L1,DIS,1183.8389007970052,
BT001M_L1,Farneback,1221.2253049148653,
BT001M_L1,PCAFlow,1260.7553133679507,
BT001M_L1,Lucas-Kanade,1883.3943666223886,
BT001M_L1,DeepFlow,1266.979101255887,
BT001M_L2,TVL1,1038.5731418306968,
BT001M_L2,DIS,1076.8695960632774,
BT001M_L2,Farneback,1119.0111173167493,
BT001M_L2,PCAFlow,1101.5851572877673,
BT001M_L2,Lucas-Kanade,1648.4510551261924,
BT001M_L2,DeepFlow,1146.885898442217,
BT001M_L3,TVL1,1036.8093980195629,
BT001M_L3,DIS,1044.0487637362637,
BT001M_L3,Farneback,1144.874026385702,
BT001M_L3,PCAFlow,1126.7581360946745,
BT001M_L3,Lucas-Kanade,1634.6364644970415,
BT001M_L3,DeepFlow,1108.7507773819586,
BT002M_L1,TVL1,413.86944511532425,
BT002M_L1,DIS,418.7115460089361,
BT002M_L1,Farneback,434.2688986837338,
BT002M_L1,PCAFlow,437.4200655114117,
BT002M_L1,Lucas-Kanade,682.3741245018717,
BT002M_L1,DeepFlow,438.75961538461536,
BT002M_L3,TVL1,673.3894230769231,
BT002M_L3,DIS,677.5091248037677,
BT002M_L3,Farneback,690.7912238860041,
BT002M_L3,PCAFlow,690.0787721893491,
BT002M_L3,Lucas-Kanade,1065.4219372660307,
BT002M_L3,DeepFlow,699.97996165922,
BT006M_L1,TVL1,2133.1413552107233,
BT006M_L1,DIS,1754.5455560922594,
BT006M_L1,Farneback,2107.260588998913,
BT006M_L1,PCAFlow,1812.612380751117,
BT006M_L1,Lucas-Kanade,2485.272038401159,
BT006M_L1,DeepFlow,1825.2532302861973,
BT006M_L2,TVL1,2330.935228233305,
BT006M_L2,DIS,1695.8238135490883,
BT006M_L2,Farneback,2251.3500784929356,
BT006M_L2,PCAFlow,1768.2203538220022,
BT006M_L2,Lucas-Kanade,2769.858282514189,
BT006M_L2,DeepFlow,1785.2885294650405,
BT006M_L3,TVL1,1427.3796114599686,
BT006M_L3,DIS,1392.3166284265185,
BT006M_L3,Farneback,1439.1271057239464,
BT006M_L3,PCAFlow,1392.5611037314334,
BT006M_L3,Lucas-Kanade,1719.2522113875136,
BT006M_L3,DeepFlow,1399.334764823089,
BT012M_L1,TVL1,1760.151649861128,
BT012M_L1,DIS,1823.839429114841,
BT012M_L1,Farneback,1806.2704836372418,
BT012M_L1,PCAFlow,1856.1371814998188,
BT012M_L1,Lucas-Kanade,2223.938669846637,
BT012M_L1,DeepFlow,1860.3347572756913,
BT012M_L2,TVL1,670.046205168458,
BT012M_L2,DIS,604.9096953870305,
BT012M_L2,Farneback,637.236256188866,
BT012M_L2,PCAFlow,613.9637875860403,
BT012M_L2,Lucas-Kanade,807.3583881777563,
BT012M_L2,DeepFlow,629.4408963289458,
BT013_L1,TVL1,1091.247577285352,
BT013_L1,DIS,1016.6115580847724,
BT013_L1,Farneback,1083.6603822002173,
BT013_L1,PCAFlow,1036.1122448979593,
BT013_L1,Lucas-Kanade,1414.4599082236446,
BT013_L1,DeepFlow,1048.005260536167,
BT013_L2,TVL1,968.5314198164473,
BT013_L2,DIS,979.1833036469026,
BT013_L2,Farneback,1032.840598961478,
BT013_L2,PCAFlow,1003.7381656804733,
BT013_L2,Lucas-Kanade,1393.0763872116895,
BT013_L2,DeepFlow,1032.7689062311315,
