sample,algorithm,avg_epe,avg_mse
sample_000,TVL1,11.963783288495351,1829.0779
sample_000,DIS,12.463509244415409,3159.1934
sample_000,Farneback,12.72888116926399,3224.8345
sample_000,PCAFlow,14.937375354292282,3056.329
sample_000,Lucas-Kanade,11.28753151850227,4147.7524
sample_000,DeepFlow,14.85173565052979,2602.4546
sample_001,TVL1,7.802674516011322,1046.8776
sample_001,DIS,8.261469130969733,1946.4792
sample_001,Farneback,8.654511987606725,1976.0933
sample_001,PCAFlow,11.154712856606068,1526.2073
sample_001,Lucas-Kanade,6.36376244790179,2730.0225
sample_001,DeepFlow,11.4526714001091,899.6963
sample_002,TVL1,9.46629489761806,882.5127
sample_002,DIS,9.87293679088727,1571.8356
sample_002,Farneback,10.154081728555,1588.49
sample_002,PCAFlow,12.993028684340835,1417.9357
sample_002,Lucas-Kanade,8.530821023141966,2054.014
sample_002,DeepFlow,13.304122318317582,1035.5
sample_003,TVL1,10.965815360945822,1451.7314
sample_003,DIS,11.629492514350495,2655.3623
sample_003,Farneback,12.007462362263794,2684.486
sample_003,PCAFlow,14.391869118500507,2488.5288
sample_003,Lucas-Kanade,9.974727663209922,3519.185
sample_003,DeepFlow,14.57188412000409,1928.3835
sample_004,TVL1,12.097898129114288,1328.1582
sample_004,DIS,12.835956010323846,2525.8325
sample_004,Farneback,13.213820775574767,2576.9307
sample_004,PCAFlow,15.596817756245512,2290.419
sample_004,Lucas-Kanade,10.908290123896801,3306.421
sample_004,DeepFlow,15.942271407438453,1789.3562
sample_005,TVL1,11.429506521480278,1209.3191
sample_005,DIS,12.203890758264773,2209.1702
sample_005,Farneback,12.490254078069082,2239.025
sample_005,PCAFlow,14.833846109645688,2110.1675
sample_005,Lucas-Kanade,10.753590396505999,2896.5176
sample_005,DeepFlow,14.99395942051526,1713.229
sample_006,TVL1,11.565995487959263,1739.7355
sample_006,DIS,12.214318144718042,3001.275
sample_006,Farneback,12.246337529260758,3052.9158
sample_006,PCAFlow,14.214391443486459,3005.0886
sample_006,Lucas-Kanade,11.27194317645814,3888.149
sample_006,DeepFlow,13.799701199480854,2690.6416
sample_007,TVL1,11.739107229862988,1764.0361
sample_007,DIS,12.736507632967603,3255.7764
sample_007,Farneback,12.914327488933289,3315.9883
sample_007,PCAFlow,15.764127272839158,2954.3188
sample_007,Lucas-Kanade,10.988447292589065,4205.8936
sample_007,DeepFlow,15.87957079280093,2364.7207
sample_008,TVL1,10.646255567954988,1679.3938
sample_008,DIS,11.385890094478153,2991.6787
sample_008,Farneback,11.639176663507783,3047.7656
sample_008,PCAFlow,14.118147423535387,2857.2385
sample_008,Lucas-Kanade,10.055527357046897,3882.2864
sample_008,DeepFlow,13.897890718121193,2309.5854
sample_009,TVL1,11.44126409107474,1906.7325
sample_009,DIS,12.175511855146246,3959.374
sample_009,Farneback,12.21968374454076,4012.6384
sample_009,PCAFlow,15.038378446803058,3450.8381
sample_009,Lucas-Kanade,10.67653234095126,5060.0195
sample_009,DeepFlow,14.83655432162734,2731.289
sample_010,TVL1,11.207275066136855,1312.2742
sample_010,DIS,11.764029827375662,2472.3672
sample_010,Farneback,12.01902493985023,2515.6177
sample_010,PCAFlow,14.25691908167213,2339.2136
sample_010,Lucas-Kanade,10.21635467959775,3205.7412
sample_010,DeepFlow,14.659860914521676,1829.2407
sample_011,TVL1,10.006232519324477,1504.8882
sample_011,DIS,10.808508494919712,2685.2827
sample_011,Farneback,11.082680419551092,2741.2007
sample_011,PCAFlow,13.696123603952888,2569.5212
sample_011,Lucas-Kanade,9.495299533685511,3501.8284
sample_011,DeepFlow,13.653253546449005,1989.2544
sample_012,TVL1,8.280736412731102,1971.6461
sample_012,DIS,9.187521275101172,3479.6611
sample_012,Farneback,9.535436078462057,3547.1782
sample_012,PCAFlow,12.229226562131172,3035.043
sample_012,Lucas-Kanade,7.587836333651548,4626.712
sample_012,DeepFlow,12.456465651085002,2037.9426
sample_013,TVL1,8.959869489600955,1276.3499
sample_013,DIS,9.60495457694433,2288.6016
sample_013,Farneback,9.749232463834229,2335.3174
sample_013,PCAFlow,12.406658166935319,2094.8818
sample_013,Lucas-Kanade,8.279851494637628,2984.4468
sample_013,DeepFlow,12.48483124327483,1596.7448
sample_014,TVL1,10.402727960879428,1401.742
sample_014,DIS,11.286543655742232,2543.9233
sample_014,Farneback,11.557893703043707,2586.3384
sample_014,PCAFlow,14.170909182325229,2359.522
sample_014,Lucas-Kanade,9.581406349280947,3346.728
sample_014,DeepFlow,14.306010925047486,1795.4697
sample_015,TVL1,10.621861077111491,2528.3599
sample_015,DIS,11.686275022725656,4415.3804
sample_015,Farneback,11.915166648606466,4506.292
sample_015,PCAFlow,14.286324240814533,4252.201
sample_015,Lucas-Kanade,10.183861514834865,5730.9873
sample_015,DeepFlow,14.35690045675242,3454.3054
sample_016,TVL1,10.484939988321988,1593.4603
sample_016,DIS,11.318267309332477,2911.4119
sample_016,Farneback,11.654104704094916,2955.9775
sample_016,PCAFlow,14.44020006980875,2645.6084
sample_016,Lucas-Kanade,9.665870695009016,3823.2734
sample_016,DeepFlow,14.496771532247777,2009.1279
sample_017,TVL1,10.441905896625096,1207.0117
sample_017,DIS,11.311581535251825,2236.6208
sample_017,Farneback,11.644578229211874,2280.5442
sample_017,PCAFlow,14.196242914121205,2028.2042
sample_017,Lucas-Kanade,9.493067958667078,2959.6794
sample_017,DeepFlow,14.379117449114684,1546.7394
