sample_idx,struct_sigma,speckle_scale,magnitude,smoothness,speckle_contrast,image_size,n_frames
0,14.408285879413526,0.17580517700254564,473.9400874954843,20,4.0,"[360, 360]",9
1,11.232441450795212,0.31399015183491924,525.2198183924546,20,4.0,"[360, 360]",9
2,19.206781722883374,0.18815817437246118,525.0065877673851,20,4.0,"[360, 360]",9
3,4.237511962934488,0.16675184032138446,449.12909004644064,20,4.0,"[360, 360]",9
4,8.223883507439874,0.1973395001845029,481.15435077454003,20,4.0,"[360, 360]",9
5,8.965370813703938,0.2888663463498843,650.4141060099138,20,4.0,"[360, 360]",9
6,11.575630751327171,0.2616339177806722,389.48066338456283,20,4.0,"[360, 360]",9
7,15.642364243480213,0.1506795031041263,472.5335399879496,20,4.0,"[360, 360]",9
8,19.182955488428973,0.20091503509342354,549.9337811144384,20,4.0,"[360, 360]",9
9,16.86305240711511,0.22327231351834045,492.86722043145124,20,4.0,"[360, 360]",9
10,11.603401416467655,0.18246054170466686,562.3367373964468,20,4.0,"[360, 360]",9
11,15.385826859382398,0.1896759389554056,489.7473941010175,20,4.0,"[360, 360]",9
12,14.018094077532972,0.24391311563351853,315.28104834572287,20,4.0,"[360, 360]",9
13,14.75342709788363,0.2330396092179778,348.98354168710966,20,4.0,"[360, 360]",9
14,10.655072762479367,0.1814521664635459,604.9084573492836,20,4.0,"[360, 360]",9
15,19.538088345353813,0.20711947144589846,426.68711270103313,20,4.0,"[360, 360]",9
16,12.443331325884076,0.2590017422036962,610.0816143673192,20,4.0,"[360, 360]",9
17,6.75813362357961,0.319984201113757,581.6037674260489,20,4.0,"[360, 360]",9
18,11.009916753611593,0.13019472480429903,459.34455476767374,20,4.0,"[360, 360]",9
19,10.9080847307984,0.06400163369713982,356.7939946908303,20,4.0,"[360, 360]",9
20,10.575844984805542,0.17383250544801393,375.41651887413616,20,4.0,"[360, 360]",9
21,17.44414761969348,0.22972898931356994,552.6658209812846,20,4.0,"[360, 360]",9
22,15.947649393586648,0.216898982255588,392.9183989458404,20,4.0,"[360, 360]",9
23,11.727787895496819,0.13530663820824684,597.023976247781,20,4.0,"[360, 360]",9
24,12.525690184321887,0.2506367186957178,499.51384271643167,20,4.0,"[360, 360]",9
25,11.745185839116811,0.1925664810855534,430.1098212992941,20,4.0,"[360, 360]",9
26,16.506533721017043,0.1502465587290335,504.57798325116244,20,4.0,"[360, 360]",9
27,15.86903852922582,0.19186258840038767,461.9148219904076,20,4.0,"[360, 360]",9
28,16.606949075751686,0.10515272546918161,689.3438090465938,20,4.0,"[360, 360]",9
29,13.132770583360207,0.24573696060572175,403.1337724720473,20,4.0,"[360, 360]",9
30,12.787091358910706,0.2181857413738208,615.9803111692933,20,4.0,"[360, 360]",9
31,8.885884986052888,0.18518698794627855,384.4723361512073,20,4.0,"[360, 360]",9
32,15.076422522121737,0.15921827103060862,558.0738202983275,20,4.0,"[360, 360]",9
33,7.67511236256815,0.18680154452586578,665.101749835012,20,4.0,"[360, 360]",9
34,7.293302440026904,0.30412380290561436,452.07094268232527,20,4.0,"[360, 360]",9
35,10.988278510299413,0.3128958685874682,380.99729975372406,20,4.0,"[360, 360]",9
36,9.862570102481229,0.21598446324775894,616.1338258987956,20,4.0,"[360, 360]",9
37,10.620904288787154,0.20160488308537086,596.7017677019412,20,4.0,"[360, 360]",9
38,14.209090201995483,0.2428904101954695,427.111287826884,20,4.0,"[360, 360]",9
39,11.539163695628186,0.2996549808481477,561.1375212818649,20,4.0,"[360, 360]",9
40,13.300671239411075,0.29295268166134125,598.7032883490406,20,4.0,"[360, 360]",9
41,11.814473627788232,0.20668402150492365,481.7454224770426,20,4.0,"[360, 360]",9
42,11.223401621173188,0.23184512633319057,603.257027174136,20,4.0,"[360, 360]",9
43,5.941124361791038,0.2122274198765332,599.1857196260219,20,4.0,"[360, 360]",9
44,14.63669022205487,0.24591298861908117,624.7831247311682,20,4.0,"[360, 360]",9
45,16.418345628861708,0.20442068154718324,383.4860676464348,20,4.0,"[360, 360]",9
46,14.526141669899543,0.2064664357468801,621.7696926654181,20,4.0,"[360, 360]",9
47,15.13766042945777,0.21549568669477187,381.9835212623571,20,4.0,"[360, 360]",9
48,5.737543783819857,0.21239164058849186,524.3393444705944,20,4.0,"[360, 360]",9
49,11.47670019702932,0.10812702020195518,389.02059993331306,20,4.0,"[360, 360]",9
