metric,correlation,raw_correlation,p_value
pixel_correlation,0.5671790161672288,-0.5671790161672288,1.749161774722955e-05
max_abs_diff,0.3733691659712545,0.3733691659712545,0.007569728942544477
nrmse,0.31883922274249593,0.31883922274249593,0.024022665943823723
ssim,0.2630644237494539,-0.2630644237494539,0.0649276233833958
mse,0.2513484925697066,0.2513484925697066,0.0782829097024992
std_diff,0.24797743986675885,0.24797743986675885,0.08250198556809424
mean_abs_diff,0.2414600981932627,0.2414600981932627,0.09116313604558655
texture_difference,0.12697421197772626,0.12697421197772626,0.3795648652989816
phase_correlation,0.12251043473504136,0.12251043473504136,0.39667850953119954
gradient_diff,0.103935899021303,0.103935899021303,0.47257354396062223
edge_difference,0.08862752533497162,0.08862752533497162,0.5405068337321146
moment_difference,0.020217063943090093,-0.020217063943090093,0.889169928400811
histogram_distance,0.007478620883864591,-0.007478620883864591,0.9588912551618103
