metric,correlation,raw_correlation,p_value
gradient_diff,0.9635819334140067,0.9635819334140067,3.7956346283145604e-29
mse,0.9452958268816046,0.9452958268816046,5.377842109123374e-25
std_diff,0.9432249629877875,0.9432249629877875,1.2814560447927682e-24
mean_abs_diff,0.9325918366186446,0.9325918366186446,6.990970031927321e-23
ssim,0.7497019516564477,-0.7497019516564477,3.730382012681178e-10
nrmse,0.6561935417015895,0.6561935417015895,2.2982224437433508e-07
histogram_distance,0.610618701670844,0.610618701670844,2.4918928581359077e-06
max_abs_diff,0.46448622787156596,0.46448622787156596,0.0006786790729989228
pixel_correlation,0.35978559920976855,-0.35978559920976855,0.01027920545111166
texture_difference,0.2750535681244173,0.2750535681244173,0.053211714198843574
moment_difference,0.24762105609268253,-0.24762105609268253,0.08295825579719888
edge_difference,0.18363482848185378,0.18363482848185378,0.2017649122537743
phase_correlation,0.11341379120069241,0.11341379120069241,0.4329180837527754
