metric,correlation,raw_correlation,p_value
pixel_correlation,0.5848339458271097,0.5848339458271097,8.195333175725971e-06
histogram_distance,0.38636433961894595,0.38636433961894595,0.005581143314103046
edge_difference,0.37447435431764353,-0.37447435431764353,0.00737947812719481
phase_correlation,0.2783422408177112,0.2783422408177112,0.05031619569823599
nrmse,0.1862433734698223,-0.1862433734698223,0.19532202449747876
moment_difference,0.1771355871413996,0.1771355871413996,0.21846622304068136
ssim,0.126010432653585,0.126010432653585,0.3832221638696709
gradient_diff,0.09815710967535272,0.09815710967535272,0.4976696790418998
max_abs_diff,0.03842409144185979,0.03842409144185979,0.7910671566373466
mean_abs_diff,0.02331728018003727,-0.02331728018003727,0.8723063730444929
std_diff,0.005042279610886102,-0.005042279610886102,0.9722769396208832
mse,0.0038965971131031812,-0.0038965971131031812,0.9785743579473282
texture_difference,0.002875303187699616,0.002875303187699616,0.9841891574880915
