sample,avg_epe,mse,nrmse,ssim,gradient_diff,histogram_distance,phase_correlation,texture_difference,edge_difference,moment_difference,mean_abs_diff,std_diff,max_abs_diff,pixel_correlation
sample_000,13.038802704249846,7446.154683641976,0.5232985345297547,0.011952526366940957,155.0580032979174,42682.39679656913,0.013645652,3.8292129629629628,119.06886574074075,34876326020.0,70.31619,86.291046,254.0,0.11172835053901109
sample_001,8.948300389867455,5178.6898919753085,0.4837428054841184,0.029471587410229868,125.81129743500382,19660.507240357303,0.012714153,3.8158564814814815,117.95717592592592,36703760097.0,57.49219,71.96291,244.0,0.3191146268148095
sample_002,10.720214240476786,4001.2299459876544,0.42303908170553145,0.028658497995819248,108.19883295077663,15102.696740723864,0.012351259,3.829151234567901,118.20706018518518,124858148479.0,50.231968,63.241936,242.0,0.31584384588127645
sample_003,12.256875189879104,6417.121604938272,0.4836350686772428,0.01751829119930017,138.60354070624334,34257.072462386845,0.012709737,3.8361342592592593,118.23657407407407,15108547897.0,64.80079,80.09688,252.0,0.21758687636357624
sample_004,13.432509033765612,5958.5176388888885,0.5093307177711455,0.02161300432413576,130.59972365765438,18133.36921512446,0.013212775,3.809976851851852,118.29363425925926,81709853142.0,62.094383,76.95789,244.0,0.0907473259412226
sample_005,12.784174547413514,5049.479444444444,0.3889940295590854,0.019935974869852005,125.60696596515788,40431.27476541133,0.012851608,3.8276234567901235,118.93900462962964,102482298866.0,57.87227,71.02398,253.0,0.09222883060081095
sample_006,12.55211449689392,6265.32763117284,0.397410943427985,0.015182911435286212,157.30487000639857,127326.1759197151,0.013422617,3.791311728395062,118.50810185185185,40688757800.0,63.39263,79.11891,246.0,0.11170031677591923
sample_007,13.337014618332171,6665.9683179012345,0.5473265150334264,0.01081739385865921,150.76707377757745,27740.744419461844,0.011971863,3.8310185185185186,119.4486111111111,34584426160.0,66.217,81.635666,255.0,0.032800653903899156
sample_008,11.957147970774066,6556.915038580247,0.46761830291741524,0.013881505024394924,150.52837560713937,49697.66662157525,0.012131009,3.8282561728395064,119.3167824074074,48090193253.0,66.04612,80.94628,238.0,0.14739223928890346
sample_009,12.7313208000239,7472.612415123457,0.5263398789824952,0.008177609231423829,154.3648076565172,36992.32427539634,0.01193232,3.8180092592592594,118.73043981481482,8656458018.0,70.79425,86.43439,247.0,0.012833092432986668
sample_010,12.353910751525717,5916.085848765432,0.4878977149395099,0.026562313574547504,131.99667860209158,29793.939629863955,0.01286432,3.815570987654321,117.68564814814815,19624969044.0,61.810093,76.91454,247.0,0.3081165421413709
sample_011,11.457016352980448,5873.498634259259,0.4126327275738972,0.013413942184581152,145.0941058038847,55083.73304224782,0.012890715,3.8230324074074074,118.63599537037037,17382865390.0,62.59223,76.60428,255.0,0.10515933569792403
sample_012,9.879537052193674,7585.6813117283955,0.5195833182913475,0.013706558547129825,167.16602807976278,49657.82766350459,0.01244982,3.8317283950617282,118.91145833333333,13281865287.0,71.181885,87.09577,255.0,0.1306733534536579
sample_013,10.247566239204547,5098.88424382716,0.4421378543422988,0.015420096610671888,132.0676536955091,31272.88526205707,0.012070802,3.8247993827160496,118.59664351851852,8990000020.0,57.839508,71.36773,248.0,0.2400228498655944
sample_014,11.884248629386505,5759.965663580247,0.4270036752410678,0.014918287962980982,135.9319506950717,43040.23531736242,0.011716186,3.8328858024691357,119.69849537037037,29609751444.0,61.98713,75.89407,234.0,0.1108455634815572
sample_015,12.17506482680757,9077.696435185186,0.5343485224357675,0.005702729148106831,185.1421520003702,79053.53054141307,0.011525386,3.8226466049382717,118.93310185185184,44286747446.0,78.02273,95.26412,255.0,0.07061355949640954
sample_016,12.010025716469157,6603.673726851852,0.4643000077519337,0.019518739262029062,147.03073184755223,44198.73274317314,0.011880191,3.8066435185185186,118.34675925925926,94329832615.0,66.011116,81.24186,238.0,0.1619009629817457
sample_017,11.911082330498624,5257.58250771605,0.47194380675922654,0.01744942903105329,127.43129037115484,20853.24564795063,0.012059538,3.8157175925925926,118.97048611111111,41338860805.0,58.487167,72.454834,248.0,0.11168293325586279
sample_018,8.582643000522431,5101.762924382716,0.3956830994722172,0.022000733591238886,135.1704282705239,51661.68468836446,0.014538572,3.819722222222222,118.93113425925925,44675469335.0,57.757183,71.42584,241.0,0.29237374021841905
sample_019,11.845979443178875,5982.12938271605,0.5111194475444231,0.014781243580684486,137.796475864319,26641.090220347985,0.012668864,3.8185416666666665,118.64976851851851,20890851837.0,62.661312,77.34257,241.0,0.06827139182578111
sample_020,14.893007864231334,6264.54037808642,0.4651195889816219,0.015026989596909051,140.5483195704343,39213.852079063625,0.012810853,3.8279012345679013,118.946875,35472529361.0,64.81705,79.14845,254.0,0.07324266849605919
sample_021,11.834402156090649,5702.245887345679,0.42814276374919813,0.018210758151887378,140.7768179684797,47810.74313620721,0.01349632,3.813904320987654,119.04918981481481,32472535414.0,61.886044,75.50329,245.0,0.09043616232426764
sample_022,9.641533483816458,6555.820941358024,0.48174712152030014,0.010060611826218906,150.9725684073453,43727.34629238271,0.012781088,3.8335648148148147,118.84849537037037,16265864310.0,66.04148,80.966415,246.0,0.17383972489340727
sample_023,13.351175737604132,3948.8408179012345,0.38677169397474936,0.032524712341984986,91.7319677050095,13757.565896315165,0.012529538,3.8150154320987655,118.24837962962962,116392741392.0,50.37082,62.821674,244.0,0.24615997297229503
sample_024,11.903085473467627,5454.425756172839,0.5083212670835312,0.021419753810499365,124.50615809943318,20330.377235955017,0.012117112,3.8017978395061727,119.22627314814815,77148695548.0,59.54474,73.80675,241.0,0.1019338323936251
sample_025,12.240347326933644,6675.503618827161,0.5758326941736219,0.013738386651034492,146.27071726681035,26627.554910151182,0.013569856,3.8305864197530863,119.41712962962963,42426707796.0,65.95658,81.63739,252.0,0.10865333378233658
sample_026,13.264864743134494,7273.881288580247,0.542810105408224,0.01114198396380124,160.9481692353507,37220.29269138961,0.013789972,3.8349305555555557,118.99606481481482,22045694097.0,69.65546,85.27675,247.0,0.057958935655806905
sample_027,13.763860065338363,3993.724984567901,0.37687735878244216,0.02714659601858927,100.2427465557983,17734.050468678233,0.012323934,3.8282793209876544,118.66944444444445,21972251203.0,50.82301,63.19561,242.0,0.18525457840706458
sample_028,12.722097505979605,7074.170817901235,0.5114488780423028,0.01227577590206592,150.36424737370263,37154.56094937936,0.013636919,3.8327469135802468,118.86226851851852,7466731664.0,68.64907,84.09976,250.0,0.0840034885798878
sample_029,6.534926853177506,4561.413780864197,0.39881233227246055,0.029248305091391504,123.7273505436782,39477.82230691142,0.0122967325,3.8135416666666666,118.90358796296296,102752574964.0,54.316,67.44965,225.0,0.39581390726144805
sample_030,10.063105542850735,6689.594915123457,0.4809175465634555,0.01163743847078301,144.8073822045239,40165.43850736934,0.012471979,3.8177237654320986,119.40532407407407,18864235925.0,66.978745,81.783516,251.0,0.04415112870701407
sample_031,13.857261372664965,4443.749405864198,0.4994292476448102,0.023389124097751856,108.61769221210726,15154.311128300433,0.013645011,3.8305015432098766,119.03738425925926,49609704106.0,52.939342,66.625404,242.0,0.14491083741878089
sample_032,12.222586591897404,6391.89087962963,0.4751280985230329,0.011679133141591504,150.03725383029104,39543.37845039222,0.013265928,3.824050925925926,118.40972222222223,18875158656.0,65.080605,79.94852,244.0,0.16800634880408766
sample_033,12.849479692452007,7577.556064814815,0.5166793679812687,0.013456106360745816,159.45686351319753,50534.46339227219,0.014117732,3.817808641975309,118.37824074074074,56424564962.0,71.077545,87.03453,251.0,0.13747746056888818
sample_034,8.905889245975587,6697.4933256172835,0.4780262886166546,0.01323439193897606,155.7176244772906,55690.252833570325,0.012657688,3.822013888888889,118.86030092592593,71861417802.0,66.50729,81.81286,249.0,0.20178230429873376
sample_035,10.30106302900851,7339.224004629629,0.4888689045194489,0.012649856869134269,166.25300587543143,64728.26165801981,0.013350887,3.825108024691358,118.85636574074074,77069522682.0,69.728325,85.62635,254.0,0.15516964108297052
sample_036,13.107643541026938,5630.182291666667,0.5389909407092807,0.015292174863083015,136.05884609837338,19664.336118052215,0.013466696,3.825192901234568,118.46481481481482,64351129327.0,59.919792,74.96992,255.0,0.11379191554283545
sample_037,12.37639678972503,6023.51300154321,0.4936495313705139,0.018388622624456386,136.37744094587364,24395.624103089256,0.013192768,3.828850308641975,118.68912037037038,47671800057.0,62.632664,77.549095,250.0,0.20639509700206196
sample_038,12.011849555082563,4679.159367283951,0.40374732636993943,0.0260572546479028,112.99995630431108,26509.23020950234,0.013260096,3.8090354938271607,119.1337962962963,51826010875.0,55.30795,68.36752,242.0,0.19383702200346764
sample_039,10.194174542056437,3515.2658179012346,0.46734864411544796,0.053331490946292276,90.16376929135633,5470.9586272918705,0.012969982,3.796033950617284,116.08993055555555,57941413059.0,46.312992,59.288715,242.0,0.3237175926846469
sample_040,10.540109154803533,5119.819367283951,0.4111010568455735,0.027262018013289927,119.99571639236696,32924.36866124593,0.012762881,3.7924845679012344,118.93703703703704,35118010299.0,57.809,71.55287,255.0,0.1869374174077987
sample_041,13.560964923782363,5487.029699074074,0.4703156821840314,0.01720607561717585,126.08789196035718,25147.55744597374,0.012035194,3.8183333333333334,119.3974537037037,69308164894.0,59.971504,74.00071,243.0,0.11736096712661907
sample_042,10.847462768650658,4791.004297839506,0.39417653095635524,0.0201569615869703,124.42241534394994,32358.30680705529,0.013829335,3.821929012345679,119.31875,41987969504.0,56.02197,69.10224,244.0,0.25401539781013494
sample_043,12.21154052517884,5224.006705246914,0.45382067606808035,0.01886298684767804,127.37996572867418,22299.323794888325,0.013763971,3.8214737654320987,119.25578703703704,65533691338.0,58.551334,72.226364,254.0,0.1709444695656352
sample_044,10.661895662374464,4553.956049382716,0.44919160207050013,0.02415310881532367,117.42184445000468,21867.898003146976,0.012387003,3.8303163580246915,118.97048611111111,38141179036.0,54.164875,67.41199,233.0,0.1841417222815391
sample_045,10.631080572533714,5533.14462962963,0.4512323651382922,0.017141558452753784,134.18963444739413,36173.8276282349,0.012583356,3.8340123456790125,118.32118055555556,8692527875.0,60.42988,74.35837,235.0,0.19689011995218025
sample_046,10.584912239366956,4494.44174382716,0.37384457122234144,0.018499618102830302,122.23878311019892,37241.025512699496,0.012089091,3.8002314814814815,119.44664351851851,11422518280.0,54.856403,67.02572,222.0,0.025938324196817124
sample_047,11.63772905528777,4681.378418209876,0.4198838986530268,0.018921622782276895,116.58624422694109,21405.334766420754,0.012580993,3.8361265432098763,119.39548611111111,14763928972.0,55.37416,68.41909,221.0,0.08898474881514372
sample_048,12.870205355659444,4077.2693441358024,0.4927282004551772,0.03162761050622201,97.01478832938038,9143.187478904327,0.011975166,3.818341049382716,117.62465277777778,42669842595.0,50.54209,63.85218,237.0,0.2110858062303547
sample_049,8.925712196278463,5437.571990740741,0.4182374053026375,0.01612129152471096,142.15774475045362,45899.215269509106,0.012054719,3.8310185185185186,118.44513888888889,32278565110.0,60.001297,73.7375,226.0,0.2467984011589293
