algorithm_type,params,s_epe,s_mse,a_mse,combined_score
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=5; poly_sigma=1.1; flags=0,13.897726126435595,3229.9146,3229.9146,0.38836305700831086
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=5; poly_sigma=1.3; flags=0,14.403933299792438,3180.1487,3180.1487,0.39246398824947754
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=5; poly_sigma=1.5; flags=0,14.719821218174948,3136.3518,3136.3518,0.3942586142314588
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=5; poly_sigma=2.0; flags=0,14.913830973582288,3076.6846,3076.6846,0.3933947021268561
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=7; poly_sigma=1.1; flags=0,13.897955256847231,3229.873,3229.873,0.3883637763401544
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=7; poly_sigma=1.3; flags=0,14.410598354292532,3179.5205,3179.5205,0.3925196139758196
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=7; poly_sigma=1.5; flags=0,14.763655593832038,3131.5464,3131.5464,0.3945839729227183
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=1; poly_n=7; poly_sigma=2.0; flags=0,15.189295600430881,3037.9832,3037.9832,0.39492912915157674
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=2; poly_n=5; poly_sigma=1.1; flags=0,14.772706378989863,3089.7634,3089.7634,0.392203712555675
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=2; poly_n=5; poly_sigma=1.3; flags=0,15.147069643166356,3028.178,3028.178,0.3937496530047791
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=2; poly_n=5; poly_sigma=1.5; flags=0,15.38040055692285,2975.0396,2975.0396,0.3938279886448508
Farneback,pyr_scale=0.2; levels=3; winsize=15; iterations=2; poly_n=5; poly_sigma=2.0; flags=0,15.572072227854056,2912.086,2912.086,0.3927341711926652
