metric,correlation,raw_correlation,p_value
pixel_correlation,0.5506271868754197,-0.5506271868754197,3.426171890803044e-05
max_abs_diff,0.34394842086969823,0.34394842086969823,0.014457263000822115
nrmse,0.30152682532867947,0.30152682532867947,0.03333773542922681
ssim,0.17370840462641318,-0.17370840462641318,0.2276501409229
mse,0.14665094326545342,0.14665094326545342,0.3095064406197487
std_diff,0.14397516342749384,0.14397516342749384,0.31851319747438456
histogram_distance,0.1422719904747722,-0.1422719904747722,0.3243318052910575
mean_abs_diff,0.1375983795082225,0.1375983795082225,0.34064015521442426
texture_difference,0.11831723428499923,0.11831723428499923,0.41315811808728437
phase_correlation,0.09611082130800197,0.09611082130800197,0.5067180859911166
edge_difference,0.07792322546720114,0.07792322546720114,0.5906577996304451
gradient_diff,0.024780229461243263,-0.024780229461243263,0.8643677017192807
moment_difference,0.020790166102704507,-0.020790166102704507,0.8860486642493988
