algorithm_type,params,s_epe,s_mse,a_mse,combined_score
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.60059909,2356.056,2356.056,0.367531528
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.66942641,2295.3608,2295.3608,0.360798727
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.95300995,2276.585,2276.585,0.36081428
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=3; warps=5; epsilon=0.02,11.03748962,2219.8745,2219.8745,0.354684876
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.47965088,2220.8477,2220.8477,0.358338932
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.62267684,2147.6802,2147.6802,0.350703047
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=4; warps=5; epsilon=0.01,12.02793038,2131.3413,2131.3413,0.351984411
TVL1,tau=0.1; lambda_=0.05; theta=0.3; nscales=4; warps=5; epsilon=0.02,12.18627393,2068.6323,2068.6323,0.345726088
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.56211781,2503.4485,2503.4485,0.38491076
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.73207617,2404.2673,2404.2673,0.37436869
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.90024735,2410.1758,2410.1758,0.376423087
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=3; warps=5; epsilon=0.02,11.1370048,2318.8694,2318.8694,0.367360382
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.41100047,2356.8667,2356.8667,0.374112013
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.69928023,2250.888,2250.888,0.363700796
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.92875928,2257.5537,2257.5537,0.366336523
TVL1,tau=0.1; lambda_=0.05; theta=0.5; nscales=4; warps=5; epsilon=0.02,12.25860731,2165.3394,2165.3394,0.357909585
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.58253009,1863.6256,1863.6256,0.308295333
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.57303932,1863.8293,1863.8293,0.308243845
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.82837278,1831.3617,1831.3617,0.306390395
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.82422308,1830.6139,1830.6139,0.306267463
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.52702612,1755.1215,1755.1215,0.302830801
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=4; warps=3; epsilon=0.02,11.52793988,1753.7057,1753.7057,0.302668223
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=4; warps=5; epsilon=0.01,11.91944253,1725.906,1725.906,0.302464261
TVL1,tau=0.1; lambda_=0.15; theta=0.3; nscales=4; warps=5; epsilon=0.02,11.9234003,1724.8184,1724.8184,0.302365419
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=3; warps=3; epsilon=0.01,10.58370455,1928.5735,1928.5735,0.316098468
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=3; warps=3; epsilon=0.02,10.58389226,1925.8405,1925.8405,0.31577201
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=3; warps=5; epsilon=0.01,10.84221158,1909.1116,1909.1116,0.315831095
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=3; warps=5; epsilon=0.02,10.84616434,1905.1615,1905.1615,0.315388697
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=4; warps=3; epsilon=0.01,11.55370359,1813.6735,1813.6735,0.310070461
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=4; warps=3; epsilon=0.02,11.56067566,1809.572,1809.572,0.309634052
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=4; warps=5; epsilon=0.01,11.97758208,1788.3069,1788.3069,0.31041748
TVL1,tau=0.1; lambda_=0.15; theta=0.5; nscales=4; warps=5; epsilon=0.02,12.00065795,1788.6,1788.6,0.310637268
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=3; warps=3; epsilon=0.01,10.68093945,1946.9567,1946.9567,0.31908233
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=3; warps=3; epsilon=0.02,10.67316811,1947.6615,1947.6615,0.319104739
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=3; warps=5; epsilon=0.01,10.94975522,1899.5826,1899.5826,0.315547959
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=3; warps=5; epsilon=0.02,10.93528005,1901.0449,1901.0449,0.315607649
TVL1,tau=0.1; lambda_=0.3; theta=0.3; nscales=4; warps=3; epsilon=0.01,11.49769226,1849.1318,1849.1318,0.313877367
