sample,algorithm,algorithm_mse,algorithm_pixel_corr,deformation_mse,deformation_pixel_corr
B159M_L1,TVL1,1035.1344,0.2513097658626821,1470.0643,0.15304397145137497
B159M_L1,DIS,1055.4415,0.24207126883796,1470.0643,0.15304397145137497
B159M_L1,Farneback,1108.4452,0.23205552601367407,1470.0643,0.15304397145137497
B159M_L1,PCAFlow,1081.6515,0.24341694328769717,1470.0643,0.15304397145137497
B159M_L1,Lucas-Kanade,1456.2399,0.15407152024114393,1470.0643,0.15304397145137497
B159M_L1,DeepFlow,1089.4192,0.23086795421539377,1470.0643,0.15304397145137497
BT001M_L1,TVL1,668.893,0.3401613092963202,1102.046,0.16621761254191045
BT001M_L1,DIS,684.93994,0.34768269408758185,1102.046,0.16621761254191045
BT001M_L1,Farneback,737.00073,0.3329024744995431,1102.046,0.16621761254191045
BT001M_L1,PCAFlow,729.56885,0.32588412107820325,1102.046,0.16621761254191045
BT001M_L1,Lucas-Kanade,1088.8997,0.16819519180752004,1102.046,0.16621761254191045
BT001M_L1,DeepFlow,732.81006,0.32421824023097157,1102.046,0.16621761254191045
BT001M_L2,TVL1,702.6356,0.3648042713013821,1131.6012,0.21812851245013531
BT001M_L2,DIS,731.07825,0.3598953005151243,1131.6012,0.21812851245013531
BT001M_L2,Farneback,782.13824,0.3485633793636768,1131.6012,0.21812851245013531
BT001M_L2,PCAFlow,750.1888,0.356861908103506,1131.6012,0.21812851245013531
BT001M_L2,Lucas-Kanade,1118.1737,0.21975180925267265,1131.6012,0.21812851245013531
BT001M_L2,DeepFlow,778.5612,0.34030034489991784,1131.6012,0.21812851245013531
BT001M_L3,TVL1,686.768,0.2546847555267513,1095.7623,0.0706311130653144
BT001M_L3,DIS,693.41614,0.27217695477563514,1095.7623,0.0706311130653144
BT001M_L3,Farneback,783.0663,0.23093075841118785,1095.7623,0.0706311130653144
BT001M_L3,PCAFlow,752.375,0.23820067839369166,1095.7623,0.0706311130653144
BT001M_L3,Lucas-Kanade,1085.6158,0.07224671153035475,1095.7623,0.0706311130653144
BT001M_L3,DeepFlow,738.2734,0.24630806940351588,1095.7623,0.0706311130653144
BT002M_L1,TVL1,415.02682,0.4160053894268984,689.79706,0.20004427427931248
BT002M_L1,DIS,419.56998,0.421763525077346,689.79706,0.20004427427931248
BT002M_L1,Farneback,440.13748,0.40129345929707383,689.79706,0.20004427427931248
BT002M_L1,PCAFlow,438.11255,0.40136599493971503,689.79706,0.20004427427931248
BT002M_L1,Lucas-Kanade,682.53467,0.20243400116677274,689.79706,0.20004427427931248
BT002M_L1,DeepFlow,439.3831,0.40172961632265825,689.79706,0.20004427427931248
BT002M_L3,TVL1,674.54535,0.3110364310110331,1077.0018,0.1252855113865534
BT002M_L3,DIS,678.67584,0.32018917936430774,1077.0018,0.1252855113865534
BT002M_L3,Farneback,707.41455,0.3073127350306598,1077.0018,0.1252855113865534
BT002M_L3,PCAFlow,691.04846,0.31553227164888803,1077.0018,0.1252855113865534
BT002M_L3,Lucas-Kanade,1065.368,0.12772556317340786,1077.0018,0.1252855113865534
BT002M_L3,DeepFlow,700.9357,0.3070971030667319,1077.0018,0.1252855113865534
BT006M_L1,TVL1,1194.8743,0.06976118474303725,1423.9049,0.047892438478274714
BT006M_L1,DIS,1000.9802,0.15056864311432044,1423.9049,0.047892438478274714
BT006M_L1,Farneback,1082.4475,0.12954797172615135,1423.9049,0.047892438478274714
BT006M_L1,PCAFlow,1035.087,0.1321131735331336,1423.9049,0.047892438478274714
BT006M_L1,Lucas-Kanade,1410.2865,0.04792906113111693,1423.9049,0.047892438478274714
BT006M_L1,DeepFlow,1038.0465,0.13862316525402874,1423.9049,0.047892438478274714
BT006M_L2,TVL1,1185.5305,0.02630126882278489,1440.6165,-0.00027919643473559496
BT006M_L2,DIS,867.9704,0.14288562199910232,1440.6165,-0.00027919643473559496
BT006M_L2,Farneback,922.0893,0.15875693068221383,1440.6165,-0.00027919643473559496
BT006M_L2,PCAFlow,938.98065,0.11814193850772572,1440.6165,-0.00027919643473559496
BT006M_L2,Lucas-Kanade,1426.4735,0.0005753806282644472,1440.6165,-0.00027919643473559496
BT006M_L2,DeepFlow,922.77747,0.12180593633961731,1440.6165,-0.00027919643473559496
BT006M_L3,TVL1,1426.1675,0.05802752725343082,1735.0162,0.015396738173398922
BT006M_L3,DIS,1393.4055,0.034799740888259025,1735.0162,0.015396738173398922
BT006M_L3,Farneback,1416.7875,0.029963271485068887,1735.0162,0.015396738173398922
BT006M_L3,PCAFlow,1393.3025,0.04233426437058092,1735.0162,0.015396738173398922
BT006M_L3,Lucas-Kanade,1718.3429,0.016170505106417755,1735.0162,0.015396738173398922
BT006M_L3,DeepFlow,1400.4043,0.027557327751933026,1735.0162,0.015396738173398922
