sample,algorithm,avg_epe,avg_mse,avg_pixel_corr
sample_000,TVL1,12.419852357751962,264.11343,0.9463126177543337
sample_000,DIS,14.076680502927353,293.06897,0.9399703545109698
sample_000,Farneback,11.736715032793514,588.2784,0.8785621170596407
sample_000,PCAFlow,13.595288164642932,466.7411,0.9038770370527129
sample_000,DeepFlow,14.907621998387723,242.34613,0.9503733274419975
sample_001,TVL1,10.205584744935274,422.31277,0.9180369315852347
sample_001,DIS,12.662992804367413,397.5055,0.9229856968514458
sample_001,Farneback,10.055467518053872,891.1313,0.8237102246753665
sample_001,PCAFlow,12.655964938819643,572.72076,0.8876870108835963
sample_001,DeepFlow,13.280958517532092,310.7162,0.9403503364000673
sample_002,TVL1,7.951542274106796,475.24313,0.9117850495252543
sample_002,DIS,8.801394911058956,336.48123,0.9388510852971484
sample_002,Farneback,7.959069397405526,856.0037,0.8317331375873048
sample_002,PCAFlow,8.76586730727473,433.77576,0.9188910450029888
sample_002,DeepFlow,8.885979486250376,325.5513,0.9413645688922299
sample_003,TVL1,12.755885557001925,502.73328,0.8776660824515385
sample_003,DIS,15.763956607761417,567.35077,0.8614274021507352
sample_003,Farneback,12.618870570571135,1028.8759,0.7454095670646725
sample_003,PCAFlow,15.235059120795757,827.6023,0.795441062641725
sample_003,DeepFlow,16.61420569561618,469.25977,0.8857319270267368
sample_004,TVL1,11.141813931719641,1008.37506,0.7677884492912876
sample_004,DIS,15.228070043164083,849.0935,0.8065141983888602
sample_004,Farneback,12.01378978639279,2117.3542,0.48941629106669354
sample_004,PCAFlow,14.92015361530784,1301.3062,0.6934457125735306
sample_004,DeepFlow,15.648806842648154,737.23737,0.8340792636215291
sample_005,TVL1,15.52207291535891,83.04163,0.9595791469925498
sample_005,DIS,16.91649540127128,115.176445,0.9444333572829323
sample_005,Farneback,13.970489778252587,313.4481,0.8473956221418145
sample_005,PCAFlow,15.351689636807288,266.69632,0.8699582856210175
sample_005,DeepFlow,17.109871785499823,119.83787,0.9420143909999336
sample_006,TVL1,11.754388826879191,512.1734,0.8506553474576898
sample_006,DIS,15.483384467363283,519.1985,0.8486308964715827
sample_006,Farneback,12.476932977854238,1033.591,0.6916648523307221
sample_006,PCAFlow,15.313593560435963,763.934,0.7743090919954899
sample_006,DeepFlow,16.20676826791325,427.345,0.8767646632584865
sample_007,TVL1,13.385281768257112,288.12598,0.9139373442322003
sample_007,DIS,15.758737580399133,317.12296,0.905170938332488
sample_007,Farneback,12.900212357723968,636.5517,0.8075753468157878
sample_007,PCAFlow,14.885022012677892,509.93103,0.8464858202146666
sample_007,DeepFlow,16.264382230778633,284.25174,0.9149601238701529
sample_008,TVL1,11.79408619538175,868.10016,0.7947009682550743
