algorithm_type,params,s_epe,s_mse,a_mse,combined_score
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.294555513855471,565.2904,565.2904,0.17419129823682034
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.982764344060438,423.74713,423.74713,0.1627117722582342
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.737311680850855,477.40558,477.40558,0.1671871624965467
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.161710962698413,382.81836,382.81836,0.1592318926755234
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.264114287031163,743.9677,743.9677,0.18738904926405325
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.086076841038217,603.5526,603.5526,0.1771149338506202
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,12.751422474908214,664.3028,664.3028,0.1817277195066403
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=3; var_refine_alpha=40.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.384765283877343,547.5479,547.5479,0.17278387613387658
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.076015369359306,614.52563,614.52563,0.17835120553782505
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=2.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,13.960116517101474,437.58878,437.58878,0.16419158482793766
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,13.648315996624635,508.52826,508.52826,0.17020992348152486
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=20.0; var_refine_delta=5.0; var_refine_gamma=10.0; use_mean_normalization=True; use_spatial_propagation=False,14.16679515336823,391.11545,391.11545,0.16026821708837125
DIS,finest_scale=0; patch_size=4; patch_stride=2; grad_descent_iter=8; var_refine_iter=5; var_refine_alpha=40.0; var_refine_delta=2.0; var_refine_gamma=5.0; use_mean_normalization=True; use_spatial_propagation=False,11.744764461134974,826.8371,826.8371,0.19317857783250098
